date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,bib
2024-08-08T09:21:11+02:00,TKWW57KG--------------8FNL000100--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1904984,HRONOVA Dominika,Person,CZE,Czechia,0,POINTS,L,,313
2024-08-08T09:21:11+02:00,TKWW57KG--------------8FNL000100--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1966505,PARK Skylar,Person,CAN,Canada,2,POINTS,W,,304
2024-08-08T09:46:50+02:00,TKWW57KG--------------8FNL000200--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1566735,ILGUN Hatice Kubra,Person,TUR,Türkiye,0,POINTS,L,,305
2024-08-08T09:46:50+02:00,TKWW57KG--------------8FNL000200--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1904038,KIM Yujin,Person,KOR,Korea,2,POINTS,W,,312
2024-08-08T10:07:51+02:00,TKWW57KG--------------8FNL000300--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1946342,HYMER Stacey,Person,AUS,Australia,0,POINTS,L,,309
2024-08-08T10:07:51+02:00,TKWW57KG--------------8FNL000300--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1955839,PACHECO Maria Clara,Person,BRA,Brazil,2,POINTS,W,,308
2024-08-08T10:42:00+02:00,TKWW57KG--------------8FNL000400--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1910374,LUO Zongshi,Person,CHN,China,2,POINTS,W,,301
2024-08-08T10:42:00+02:00,TKWW57KG--------------8FNL000400--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1544703,ATORA Emmannuella,Person,GAB,Gabon,0,POINTS,L,,316
2024-08-08T11:09:09+02:00,TKWW57KG--------------8FNL000500--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,2493835,KIMIA Alizadeh,Person,BUL,Bulgaria,1,POINTS,L,,315
2024-08-08T11:09:09+02:00,TKWW57KG--------------8FNL000500--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1536067,KIYANICHANDEH Nahid,Person,IRI,IR Iran,2,POINTS,W,,302
2024-08-08T11:31:24+02:00,TKWW57KG--------------8FNL000600--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1930767,DILLON Faith,Person,USA,United States,1,POINTS,L,,307
2024-08-08T11:31:24+02:00,TKWW57KG--------------8FNL000600--,TKWW57KG,Women -57kg,Women -57kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1947738,TOUMI Chaima,Person,TUN,Tunisia,2,POINTS,W,,310
